Gene Name	Accession-1	Left-End-Position	Right-End-Position	Regulation - transcription units of gene	Object ID	Transcription units - promoter of operon	Transcription units - binding sites	Transcription units - regulators of operon	Regulation - direct regulators of gene	Regulation - transcription factor regulators of gene
pntA	b1603	1676371	1677903	pntAB	EG10744	pntAp			RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator Lrp // Phosphorylated DNA-binding transcriptional dual regulator ArcA // DNA-binding transcriptional dual regulator Nac	
yehP	b2121	2207967	2209103	yehLMPQ	EG12002					
nagZ	b1107	1164095	1165120	hinT-ycfL-lpoB-thiK-nagZ-ycfP	G6567					
yggN	b2958	3100904	3101623	yggN // yggN // yggN	EG12705	yggNp2b // yggNp2 // yggNp1			RNA polymerase sigma E factor	
kbaZ	b3132	3278914	3280194	kbaZ-agaVWA	G7631	kbaZp	AgaR DNA-binding-site 3.5 bases downstream of kbaZp // AgaR DNA-binding-site 31.5 bases upstream of kbaZp // AgaR DNA-binding-site 75.5 bases upstream of kbaZp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 60.5 bases upstream of kbaZp	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor AgaR	RNA polymerase, sigma 70 (sigma D) factor // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional repressor AgaR	DNA-binding transcriptional repressor AgaR // CRP-cAMP DNA-binding transcriptional dual regulator
ubiB	b3835	4020226	4021866	ubiEJB	EG11476					
yabI	b0065	71351	72115	yabI	EG11571	yabIp			RNA polymerase, sigma S (sigma 38) factor	
yjhH	b4298	4524105	4525010	yjhIHG	G7911	yjhIp	CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 14 bases upstream of yjhIp	CRP-cAMP DNA-binding transcriptional dual regulator	RNA polymerase, sigma 32 (sigma H) factor // CRP-cAMP DNA-binding transcriptional dual regulator	CRP-cAMP DNA-binding transcriptional dual regulator
cpdB	b4213	4434622	4436565	cpdB	EG10160	cpdBp	CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 44 bases upstream of cpdBp	CRP-cAMP DNA-binding transcriptional dual regulator	RNA polymerase, sigma 70 (sigma D) factor // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Nac	CRP-cAMP DNA-binding transcriptional dual regulator
htrL	b3618	3792826	3793683	htrL	EG11188					
aroB	b3389	3517398	3518486	aroKB-damX-dam-rpe-gph-trpS // aroKB-damX-dam-rpe-gph-trpS	EG10074	aroKp2 // aroKp1			RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional repressor GlaR	
rodZ	b2516	2641831	2642844	yfgA	EG10015					
hyi	b0508	535710	536486	gcl-hyi-glxR-ybbVW-allB-ybbY-glxK	G6277	gclp	AllR-allantoin DNA-binding-site 20 bases upstream of gclp	AllR-allantoin	RNA polymerase, sigma 70 (sigma D) factor // AllR-allantoin	AllR-allantoin
dgcQ	b1956	2026323	2028017	dgcQ	G7049				DNA-binding transcriptional dual regulator Lrp	
upp	b2498	2620246	2620872	upp-uraA	EG11332	uppp	Fnr DNA-binding-site 61.5 bases upstream of uppp	DNA-binding transcriptional dual regulator FNR	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator FNR // DNA-binding transcriptional dual regulator Lrp	DNA-binding transcriptional dual regulator FNR
dcrB	b3472	3609955	3610512	dcrB	G7767					
dhaK	b1200	1249768	1250838	dhaKLM	G6627	dhaKp	DhaR DNA-binding-site regulating dhaKp	DNA-binding transcriptional dual regulator DhaR	RNA polymerase, sigma S (sigma 38) factor // DNA-binding transcriptional dual regulator DhaR // DNA-binding transcriptional dual regulator Lrp // DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator DhaR
ispG	b2515	2640686	2641804	ispG-sroE	EG10370					
yqcC	b2792	2923784	2924113	yqcC-truC-yqcA	G7450					
hdhA	b1619	1697273	1698040	hdhA	EG10425	hdhAp				
nrdB	b2235	2347384	2348514	nrdAB-yfaE	EG10661	nrdAp	H-NS DNA-binding-site 415 bases upstream of nrdAp // H-NS DNA-binding-site 439 bases upstream of nrdAp // ArgP DNA-binding-site 334.5 bases upstream of nrdAp // ArgP DNA-binding-site 281.5 bases upstream of nrdAp // ArgP DNA-binding-site 244.5 bases upstream of nrdAp // DnaA-ATP DNA-binding-site 14 bases upstream of nrdAp // NrdR transcriptional repressor DNA-binding-site 25.5 bases downstream of nrdAp // NrdR transcriptional repressor DNA-binding-site 7.5 bases upstream of nrdAp // DnaA-ATP DNA-binding-site 36.5 bases upstream of nrdAp // DnaA-ATP DNA-binding-site 48 bases upstream of nrdAp // Fis DNA-binding-site 156 bases upstream of nrdAp // ArgP DNA-binding-site 163.5 bases upstream of nrdAp // ArgP DNA-binding-site 190.5 bases upstream of nrdAp // ArgP DNA-binding-site 218.5 bases upstream of nrdAp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 136.5 bases upstream of nrdAp // Fis DNA-binding-site 128 bases upstream of nrdAp // Fis DNA-binding-site 199 bases upstream of nrdAp // Fis DNA-binding-site 269 bases upstream of nrdAp // Fis DNA-binding-site 323 bases upstream of nrdAp	DnaA-ATP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator ArgP // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Fis // DNA-binding transcriptional dual regulator H-NS // NrdR-Zn<sup>2+</sup> DNA-binding transcriptional repressor	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator ArgP // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Fis // DNA-binding transcriptional dual regulator H-NS // DnaA-ATP DNA-binding transcriptional dual regulator // NrdR-Zn<sup>2+</sup> DNA-binding transcriptional repressor	DNA-binding transcriptional dual regulator H-NS // NrdR-Zn<sup>2+</sup> DNA-binding transcriptional repressor // DnaA-ATP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator ArgP // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Fis
dgcP	b1794	1877715	1878740	yeaP	G6980	yeaPp				
ydiB	b1692	1773789	1774655	ydiNB-aroD	EG11234				DNA-binding transcriptional dual regulator Nac	
ybgQ	b0718	749722	752169	ybgQPO	G6387					
yghU	b2989	3138727	3139593	yghU	G7553	yghUp				
dgcN	b2604	2742383	2743609	yfiRN // yfiR-dgcN-yfiB	EG12880	 // yfiRp	 // YjjQ DNA-binding-site 65 bases upstream of yfiRp	 // DNA-binding transcriptional repressor YjjQ	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional repressor YjjQ // DNA-binding transcriptional repressor GlaR	DNA-binding transcriptional repressor YjjQ
apaH	b0049	50380	51222	apaGH // pdxA-rsmA-apaGH // rsmA-apaGH // surA-pdxA-rsmA-apaGH	EG10048	apaGp // pdxAp // rsmAp // surAp	 // Fis DNA-binding-site regulating pdxAp	 // DNA-binding transcriptional dual regulator Fis	RNA polymerase sigma E factor // DNA-binding transcriptional dual regulator Fis	DNA-binding transcriptional dual regulator Fis
ytiC	b4720	4556574	4556675	iraD	G0-16686	iraDp1		ppGpp // carbon storage regulator // RNA polymerase-binding transcription factor DksA	RNA polymerase, sigma 70 (sigma D) factor // ppGpp // RNA polymerase-binding transcription factor DksA	
garD	b3128	3275282	3276853	garD	EG12522	garDp	CdaR DNA-binding-site regulating garDp	DNA-binding transcriptional activator CdaR	DNA-binding transcriptional activator CdaR // DNA-binding transcriptional dual regulator FNR	DNA-binding transcriptional activator CdaR
ubiK	b3042	3184840	3185130	ubiK	G7582					
G0-10700		2278258	2278498		G0-10700					
kduD	b2842	2982497	2983258	kduD	EG12361					
rihA	b0651	683477	684412	rihA	G6358		CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site regulating rihA	CRP-cAMP DNA-binding transcriptional dual regulator	CRP-cAMP DNA-binding transcriptional dual regulator	CRP-cAMP DNA-binding transcriptional dual regulator
lhgD	b2660	2789982	2791250	csiD-ygaF-gabDTP	EG12387	csiDp	GlaR DNA-binding-site 32 bases upstream of csiDp // GlaR DNA-binding-site 13 bases upstream of csiDp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 68.5 bases upstream of csiDp // Lrp-leu DNA-binding-site regulating csiDp // H-NS DNA-binding-site regulating csiDp	ppGpp // CRP-cAMP DNA-binding transcriptional dual regulator // Lrp-Leucine DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional repressor GlaR	RNA polymerase, sigma S (sigma 38) factor // ppGpp // CRP-cAMP DNA-binding transcriptional dual regulator // Lrp-Leucine DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional repressor GlaR	DNA-binding transcriptional repressor GlaR // CRP-cAMP DNA-binding transcriptional dual regulator // Lrp-Leucine DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator H-NS
aroF	b2601	2740080	2741150	aroF-tyrA	EG10078	aroFp	SoxR DNA-binding-site 8.5 bases downstream of aroFp // TyrR-tyr DNA-binding-site 29.5 bases upstream of aroFp // TyrR-tyr DNA-binding-site 52.5 bases upstream of aroFp // TyrR-tyr DNA-binding-site 104.5 bases upstream of aroFp	DNA-binding transcriptional dual regulator SoxR // TyrR-Tyrosine DNA-binding transcriptional repressor	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator SoxR // TyrR-Tyrosine DNA-binding transcriptional repressor // DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator SoxR // TyrR-Tyrosine DNA-binding transcriptional repressor
wrbA	b1004	1067112	1067708	wrbA-yccJ	EG11540	wrbAp	CsgD DNA-binding-site 166.5 bases upstream of wrbAp // CsgD DNA-binding-site 136.5 bases upstream of wrbAp // CsgD DNA-binding-site 114.5 bases upstream of wrbAp	ppGpp // DNA-binding transcriptional dual regulator CsgD	RNA polymerase, sigma S (sigma 38) factor // ppGpp // DNA-binding transcriptional dual regulator CsgD // DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator CsgD
yqeA	b2874	3011461	3012393	yqeA	G7493					
edd	b1851	1932793	1934604	edd-eda	EG10257	eddp	KdgR DNA-binding-site 76 bases upstream of eddp // GntR DNA-binding-site 93.5 bases upstream of eddp // GntR DNA-binding-site 128.5 bases downstream of eddp // Cra DNA-binding-site 4.5 bases downstream of eddp	DNA-binding transcriptional repressor KdgR // DNA-binding transcriptional repressor GntR // DNA-binding transcriptional dual regulator Cra	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional repressor KdgR // DNA-binding transcriptional repressor GntR // DNA-binding transcriptional dual regulator Cra	DNA-binding transcriptional repressor KdgR // DNA-binding transcriptional repressor GntR // DNA-binding transcriptional dual regulator Cra
cmk	b0910	961201	961884	cmk-rpsA	EG11265	cmkp			RNA polymerase, sigma 70 (sigma D) factor	
yciA	b1253	1311848	1312246	yciA	EG11121					
alsK	b4084	4306870	4307799	alsK	EG11956					
ubiD	b3843	4024988	4026481	ubiD	EG11396					
yhfW	b3380	3508587	3509813	yhfXW-php-yhfUTS	G7732					
yihR	b3879	4069475	4070401	yihR	EG11844					
guaC	b0104	113444	114487	guaC	EG10422					
ypfH	b2473	2593072	2593770	ypfH	G7296					
aroC	b2329	2446388	2447473	prmB-aroC-mepA-yfcA-epmC-yfcL	EG10075					
ynfA	b1582	1655347	1655673	ynfA	G6840		Nac DNA-binding-site regulating ynfA	DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator Nac
folX	b2303	2421325	2421687	folX-yfcH	G7195	folXp		small regulatory RNA FnrS	small regulatory RNA FnrS	
fruK	b2168	2261427	2262365	fruBKA	EG10337	fruBp	Cra DNA-binding-site 73.5 bases downstream of fruBp // Cra DNA-binding-site 7.5 bases downstream of fruBp	DNA-binding transcriptional dual regulator Cra	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator Cra	DNA-binding transcriptional dual regulator Cra
add	b1623	1702233	1703234	add	EG10030	addp6	RbsR-D-ribose DNA-binding-site 47.5 bases upstream of addp6	RbsR-D-ribose	RNA polymerase, sigma 70 (sigma D) factor // RbsR-D-ribose	RbsR-D-ribose
fdrA	b0518	546680	548347	fdrA-ylbEF-ybcF	G6287					
galM	b0756	787797	788837	galETKM // galETKM // galETKM // galETKM	EG11698	galEp // galEp3 // galEp2 // galEp1	CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 41.5 bases upstream of galEp // GalS-galactose DNA-binding-site 60.5 bases upstream of galEp // H-NS DNA-binding-site 47 bases upstream of galEp // H-NS DNA-binding-site 36 bases upstream of galEp // H-NS DNA-binding-site 18 bases upstream of galEp // H-NS DNA-binding-site 2 bases upstream of galEp // HU DNA-binding-site 6.5 bases downstream of galEp // GalR-galactose DNA-binding-site 60.5 bases upstream of galEp // GalR DNA-binding-site 46.5 bases downstream of galEp // GalS DNA-binding-site 52.5 bases downstream of galEp //  // HU DNA-binding-site 6.5 bases downstream of galEp2	CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional dual regulator HU // DNA-binding transcriptional dual regulator GalR // DNA-binding transcriptional dual regulator GalS //  // GalR-galactose // GalS-galactose	RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase, sigma S (sigma 38) factor // GalR-galactose // GalS-galactose // DNA-binding transcriptional dual regulator H-NS // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator HU // DNA-binding transcriptional dual regulator GalR // DNA-binding transcriptional dual regulator GalS	GalR-galactose // GalS-galactose // DNA-binding transcriptional dual regulator GalR // DNA-binding transcriptional dual regulator HU // DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional dual regulator GalS // CRP-cAMP DNA-binding transcriptional dual regulator
menI	b1686	1765222	1765632	ydiJ-menI-ydiH	G6912					
sokE	b4700	607734	607792		G0-16677					
scpA	b2917	3060850	3062994	scpA-argK-scpBC	EG11444		Fnr DNA-binding-site regulating scpA-argK-scpBC	DNA-binding transcriptional dual regulator FNR	DNA-binding transcriptional dual regulator FNR	DNA-binding transcriptional dual regulator FNR
nrdF	b2676	2803502	2804461	nrdHIEF	EG12381	nrdHp	IscR DNA-binding-site regulating nrdHp // NrdR transcriptional repressor DNA-binding-site 45.5 bases upstream of nrdHp // NrdR transcriptional repressor DNA-binding-site 14.5 bases upstream of nrdHp // DNA-binding transcriptional dual regulator Fur DNA-binding-site 61 bases upstream of nrdHp	DNA-binding transcriptional dual regulator IscR // NrdR-Zn<sup>2+</sup> DNA-binding transcriptional repressor // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator IscR // NrdR-Zn<sup>2+</sup> DNA-binding transcriptional repressor // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator	DNA-binding transcriptional dual regulator IscR // NrdR-Zn<sup>2+</sup> DNA-binding transcriptional repressor // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator
insJK		3720680	3722049		G0-10624					
ddpF	b1483	1557112	1558038	ddpXABCDF // ddpXABCDF // ddpXABCDF	G6777	ddpXp3 // ddpXp2 // ddpXp1	 // NtrC-Pasp DNA-binding-site 88 bases upstream of ddpXp1 // NtrC-Pasp DNA-binding-site 109 bases upstream of ddpXp1	 // NtrC-Phosphorylated DNA-binding transcriptional dual regulator	NtrC-Phosphorylated DNA-binding transcriptional dual regulator // RNA polymerase, sigma S (sigma 38) factor // RNA polymerase, sigma 54 (sigma N) factor	NtrC-Phosphorylated DNA-binding transcriptional dual regulator
yhjD	b3522	3673362	3674375	yhjD	EG12248		Nac DNA-binding-site regulating yhjD	DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator Nac
ycjG	b1325	1388930	1389895	ycjG	G6661	ycjGp	PgrR DNA-binding-site regulating ycjGp	DNA-binding transcriptional repressor PgrR	DNA-binding transcriptional repressor PgrR	DNA-binding transcriptional repressor PgrR
rihC	b0030	27293	28207	rihC	EG11082					
yigG	b3818	4002813	4003193	yigGF	EG11465				DNA-binding transcriptional repressor GlaR	
glgX	b3431	3569346	3571319	glgBXCAP	EG10381	glgBp	PhoP-Pasp51 DNA-binding-site 34 bases upstream of glgBp	Phosphorylated DNA-binding transcriptional dual regulator PhoP	RNA polymerase, sigma 70 (sigma D) factor // Phosphorylated DNA-binding transcriptional dual regulator PhoP	Phosphorylated DNA-binding transcriptional dual regulator PhoP
menB	b2262	2375962	2376819	menD-yfbB-menBCE // menBCE // menFD-yfbB-menBCE	EG11368	menDp // 				
rlpA	b0633	664102	665190	rsfS-rlmH-mrdAB-rlpA	EG10854	rsfSp				
pntB	b1602	1674972	1676360	pntAB	EG10745	pntAp			RNA polymerase, sigma 70 (sigma D) factor	
yaaI	b0013	11382	11786	yaaI	G8202					
gpt	b0238	255977	256435	gpt	EG10414	gptp			RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator Lrp	
yraJ	b3144	3288814	3291330	yraIJK	G7639					
metN	b0199	221614	222645	metNIQ	EG11621	metNp	HypT-[Met-oxidized] DNA-binding-site regulating metNp // MetJ-SAM DNA-binding-site 17.5 bases upstream of metNp // MetJ-SAM DNA-binding-site 25.5 bases upstream of metNp	HypT-[Met-oxidized] DNA-binding transcriptional dual regulator // MetJ-S-adenosylmethionine DNA-binding transcriptional repressor	RNA polymerase, sigma 70 (sigma D) factor // HypT-[Met-oxidized] DNA-binding transcriptional dual regulator // MetJ-S-adenosylmethionine DNA-binding transcriptional repressor	HypT-[Met-oxidized] DNA-binding transcriptional dual regulator // MetJ-S-adenosylmethionine DNA-binding transcriptional repressor
